countryiso3code,country,date,value
SSF,Sub-Saharan Africa,2022,61.8572731122839
SSA,Sub-Saharan Africa (excluding high income),2022,61.2833700706225
TSS,Sub-Saharan Africa (IDA & IBRD countries),2022,61.8572731122839
,Upper middle income,2022,76.0089594269564
WLD,World,2022,72.9675581482237
AFG,Afghanistan,2022,65.617
ALB,Albania,2022,78.769
DZA,Algeria,2022,76.129
ASM,American Samoa,2022,72.752
AND,Andorra,2022,84.016
AGO,Angola,2022,64.246
ATG,Antigua and Barbuda,2022,77.483
ARG,Argentina,2022,75.806
ARM,Armenia,2022,74.7658536585366
ABW,Aruba,2022,76.226
AUS,Australia,2022,83.2
AUT,Austria,2022,81.2951219512195
AZE,Azerbaijan,2022,74.125
BHS,"Bahamas, The",2022,74.491
BHR,Bahrain,2022,80.992
BGD,Bangladesh,2022,74.265
BRB,Barbados,2022,75.676
BLR,Belarus,2022,74.1033658536585
BEL,Belgium,2022,81.7487804878049
BLZ,Belize,2022,72.19
BEN,Benin,2022,60.475
BMU,Bermuda,2022,82.062
BTN,Bhutan,2022,72.754
BOL,Bolivia,2022,67.434
BIH,Bosnia and Herzegovina,2022,76.777
BWA,Botswana,2022,68.749
BRA,Brazil,2022,74.872
VGB,British Virgin Islands,2022,77.177
BRN,Brunei Darussalam,2022,72.917
BGR,Bulgaria,2022,74.1609756097561
BFA,Burkina Faso,2022,60.7
BDI,Burundi,2022,62.882
CPV,Cabo Verde,2022,75.907
KHM,Cambodia,2022,70.528
CMR,Cameroon,2022,62.443
CAN,Canada,2022,81.0948780487805
CYM,Cayman Islands,2022,79.984
CAF,Central African Republic,2022,18.818
TCD,Chad,2022,54.528
CHI,Channel Islands,2022,81.0
CHL,Chile,2022,79.176
CHN,China,2022,78.202
COL,Colombia,2022,76.508
COM,Comoros,2022,66.481
COD,"Congo, Dem. Rep.",2022,60.979
COG,"Congo, Rep.",2022,65.0
CRI,Costa Rica,2022,79.316
CIV,Cote d'Ivoire,2022,61.562
HRV,Croatia,2022,77.5756097560976
CUB,Cuba,2022,77.629
CUW,Curacao,2022,76.729
CYP,Cyprus,2022,80.434
CZE,Czechia,2022,78.9292682926829
DNK,Denmark,2022,81.3048780487805
DJI,Djibouti,2022,65.54
DMA,Dominica,2022,71.081
DOM,Dominican Republic,2022,74.211
ECU,Ecuador,2022,76.577
EGY,"Egypt, Arab Rep.",2022,71.01
SLV,El Salvador,2022,71.969
GNQ,Equatorial Guinea,2022,63.355
ERI,Eritrea,2022,67.789
EST,Estonia,2022,77.8439024390244
SWZ,Eswatini,2022,63.028
ETH,Ethiopia,2022,66.897
FRO,Faroe Islands,2022,82.8162292682927
FJI,Fiji,2022,67.148
FIN,Finland,2022,81.1878048780488
FRA,France,2022,82.1292682926829
PYF,French Polynesia,2022,83.859
GAB,Gabon,2022,67.713
GMB,"Gambia, The",2022,64.859
GEO,Georgia,2022,74.141
DEU,Germany,2022,80.6080487804878
GHA,Ghana,2022,65.246
GIB,Gibraltar,2022,83.517
GRC,Greece,2022,80.7878048780488
GRL,Greenland,2022,71.230243902439
GRD,Grenada,2022,75.151
GUM,Guam,2022,77.102
GTM,Guatemala,2022,71.206
GIN,Guinea,2022,60.432
GNB,Guinea-Bissau,2022,63.605
GUY,Guyana,2022,69.888
HTI,Haiti,2022,63.948
HND,Honduras,2022,72.715
HKG,"Hong Kong SAR, China",2022,83.6609756097561
HUN,Hungary,2022,75.8682926829268
ISL,Iceland,2022,82.119512195122
IND,India,2022,71.698
IDN,Indonesia,2022,70.925
IRN,"Iran, Islamic Rep.",2022,76.799
IRQ,Iraq,2022,72.037
IRL,Ireland,2022,82.509756097561
IMN,Isle of Man,2022,80.956
ISR,Israel,2022,82.7
ITA,Italy,2022,82.7
JAM,Jamaica,2022,71.481
JPN,Japan,2022,83.9963414634146
JOR,Jordan,2022,77.088
KAZ,Kazakhstan,2022,73.503
KEN,Kenya,2022,63.549
KIR,Kiribati,2022,66.269
PRK,"Korea, Dem. People's Rep.",2022,73.641
KOR,"Korea, Rep.",2022,82.6804878048781
XKX,Kosovo,2022,77.623
KWT,Kuwait,2022,80.5878048780488
KGZ,Kyrgyz Republic,2022,72.0487804878049
LAO,Lao PDR,2022,68.715
LVA,Latvia,2022,74.2780487804878
LBN,Lebanon,2022,78.003
LSO,Lesotho,2022,56.812
LBR,Liberia,2022,61.934
LBY,Libya,2022,74.462
LIE,Liechtenstein,2022,84.1219512195122
LTU,Lithuania,2022,75.6439024390244
LUX,Luxembourg,2022,82.9463414634147
MAC,"Macao SAR, China",2022,83.0804878048781
MDG,Madagascar,2022,63.068
MWI,Malawi,2022,66.037
MYS,Malaysia,2022,75.444
MDV,Maldives,2022,80.76
MLI,Mali,2022,60.035
MLT,Malta,2022,82.2975609756098
MHL,Marshall Islands,2022,66.725
MRT,Mauritania,2022,68.281
MUS,Mauritius,2022,73.5146341463415
MEX,Mexico,2022,73.973
FSM,"Micronesia, Fed. Sts.",2022,66.961
MDA,Moldova,2022,71.546
MCO,Monaco,2022,85.746
MNG,Mongolia,2022,71.9007317073171
MNE,Montenegro,2022,76.1878048780488
MAR,Morocco,2022,75.161
MOZ,Mozambique,2022,63.011
MMR,Myanmar,2022,66.506
NAM,Namibia,2022,64.19
NRU,Nauru,2022,61.93
NPL,Nepal,2022,70.087
NLD,Netherlands,2022,81.6146341463415
NCL,New Caledonia,2022,77.698
NZL,New Zealand,2022,81.9585365853658
NIC,Nicaragua,2022,74.463
NER,Niger,2022,60.398
NGA,Nigeria,2022,54.079
MKD,North Macedonia,2022,74.4248780487805
MNP,Northern Mariana Islands,2022,78.531
NOR,Norway,2022,82.509756097561
OMN,Oman,2022,77.911
PAK,Pakistan,2022,67.417
PLW,Palau,2022,68.922
PAN,Panama,2022,79.324
PNG,Papua New Guinea,2022,65.274
PRY,Paraguay,2022,72.319
PER,Peru,2022,76.834
PHL,Philippines,2022,69.472
POL,Poland,2022,77.1560975609756
PRT,Portugal,2022,81.6317073170732
PRI,Puerto Rico (US),2022,79.427
QAT,Qatar,2022,81.857
ROU,Romania,2022,75.1536585365854
RUS,Russian Federation,2022,72.5456097560976
RWA,Rwanda,2022,67.528
WSM,Samoa,2022,71.55
SMR,San Marino,2022,85.708
STP,Sao Tome and Principe,2022,69.237
SAU,Saudi Arabia,2022,77.31
SEN,Senegal,2022,67.788
SRB,Serbia,2022,75.2365853658537
SYC,Seychelles,2022,74.509756097561
SLE,Sierra Leone,2022,61.275
SGP,Singapore,2022,82.8951219512195
SXM,Sint Maarten (Dutch part),2022,76.18
SVK,Slovak Republic,2022,76.9658536585366
SVN,Slovenia,2022,81.2829268292683
SLB,Solomon Islands,2022,70.409
SOM,"Somalia, Fed. Rep.",2022,53.931
ZAF,South Africa,2022,65.454
SSD,South Sudan,2022,57.203
ESP,Spain,2022,83.1341463414634
LKA,Sri Lanka,2022,77.3
KNA,St. Kitts and Nevis,2022,70.313
LCA,St. Lucia,2022,72.67
MAF,St. Martin (French part),2022,80.236
VCT,St. Vincent and the Grenadines,2022,71.191
SDN,Sudan,2022,65.695
SUR,Suriname,2022,73.254
SWE,Sweden,2022,83.0585365853659
CHE,Switzerland,2022,83.6048780487805
SYR,Syrian Arab Republic,2022,72.79
TJK,Tajikistan,2022,71.562
TZA,Tanzania,2022,66.879
THA,Thailand,2022,75.291
TLS,Timor-Leste,2022,67.368
TGO,Togo,2022,62.292
TON,Tonga,2022,72.635
TTO,Trinidad and Tobago,2022,73.331
TUN,Tunisia,2022,76.05
TUR,Turkiye,2022,77.591
TKM,Turkmenistan,2022,69.913
TCA,Turks and Caicos Islands,2022,77.918
TUV,Tuvalu,2022,66.852
UGA,Uganda,2022,67.675
UKR,Ukraine,2022,72.658
ARE,United Arab Emirates,2022,80.487
GBR,United Kingdom,2022,81.0112195121951
USA,United States,2022,77.4341463414634
URY,Uruguay,2022,76.468
UZB,Uzbekistan,2022,72.147
VUT,Vanuatu,2022,71.302
VEN,"Venezuela, RB",2022,72.566
VNM,Viet Nam,2022,74.502
VIR,Virgin Islands (U.S.),2022,80.319512195122
PSE,West Bank and Gaza,2022,76.662
YEM,"Yemen, Rep.",2022,67.952
ZMB,Zambia,2022,65.279
ZWE,Zimbabwe,2022,62.36
